Property Name,Property URL,Property Status,Type,Address,City,State,Zip,Tenants,Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Opportunity Zone
Alpine Plaza,https://www.crexi.com/properties/249830/illinois-alpine-plaza,Active Listing,Retail,3208 S Alpine Rd,Rockford,IL,61109,Multi,,,13850,54.15,9,,13868,.0185,750000,No
1051-1057 Lake Street,https://www.crexi.com/properties/195300/illinois-1051-1057-lake-street,Active Listing,Retail,1051-1057 Lake Street,Hanover Park,IL,60133,Multi,,,17503,71.42,,,25357,.0203,1250000,No
